TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514102922851;-;-;8.261688;-0.23803711;2.2943268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922852;-;-;8.261688;-0.23803711;2.2943268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922866;-;-;7.995926;-0.31225586;2.7204895;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922887;-;-;8.112045;0.105529785;2.0477295;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922907;-;-;8.466385;-0.12071228;2.714508;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922928;-;-;8.7608795;-0.3397827;1.8873138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922948;-;-;9.392944;0.3282013;1.4443817;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922968;-;-;9.07811;0.1438446;2.1506805;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102922989;-;-;9.446808;0.1510315;1.0349731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923009;-;-;9.594055;0.42037964;-1.9972839;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923029;-;-;9.612015;0.33776855;-2.5012512;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923049;-;-;10.083664;1.0656128;-1.1760712;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923070;-;-;10.104019;2.8193665;-0.6601105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923090;-;-;13.428375;2.7451477;-0.4733734;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923111;-;-;9.263657;0.076812744;-2.507248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923131;-;-;7.506317;-1.4770355;-1.1712799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514102923152;-;-;7.10289;-2.3676758;-2.8065186;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
