TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514107239302;-;-;9.380966;-0.8712921;-0.75468445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239302;-;-;9.380966;-0.8712921;-0.75468445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239315;-;-;9.367798;-0.6869507;0.31910706;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239336;-;-;9.035004;-0.9191742;0.025817871;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239357;-;-;9.21817;-0.15663147;-2.115799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239377;-;-;9.165497;-0.6222992;0.06652832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239397;-;-;8.572922;-0.5313263;-1.6489258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239418;-;-;8.772842;-0.6701813;0.09526062;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239438;-;-;8.474762;0.08758545;-0.5140686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239458;-;-;9.267242;0.38087463;-1.0048828;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239479;-;-;9.613205;0.3964386;-0.90193176;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239499;-;-;9.700592;0.17376709;-0.89115906;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239520;-;-;9.665878;-0.4056244;-1.0156555;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239553;-;-;9.31633;-1.2136688;-5.0115814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239561;-;-;9.17746;-0.76116943;0.32987976;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239581;-;-;11.286758;-0.5432892;-2.029602;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239602;-;-;10.074097;-0.6989136;-1.1664886;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239622;-;-;6.561798;2.6098785;0.9284363;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239642;-;-;9.529419;2.4410858;-1.3975372;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239663;-;-;8.587296;1.5288849;-0.26986694;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239683;-;-;8.431671;0.5771942;-1.653717;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239704;-;-;9.807144;0.6466217;-2.2438812;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239723;-;-;10.866577;1.6186676;-1.0503693;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239743;-;-;10.054947;1.7994385;-1.2802124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514107239763;-;-;8.303574;1.5659943;-2.4509735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
