TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1512465132416;-;-;9.21817;-1.9031982;-0.10346985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132417;-;-;9.21817;-1.9031982;-0.10346985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132436;-;-;9.06134;-1.7810974;0.0030822754;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132457;-;-;9.025436;-1.7822876;-0.22436523;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132477;-;-;9.137955;-1.7763062;-0.29141235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132498;-;-;9.133179;-1.8074341;-0.28182983;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132519;-;-;9.133179;-1.7930603;-0.28781128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132540;-;-;9.201401;-1.8289795;-0.35604858;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132560;-;-;9.226547;-1.8445435;-0.33210754;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132580;-;-;9.172684;-1.7655334;-0.25430298;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132601;-;-;9.109222;-1.7571564;-0.1669159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132621;-;-;9.117615;-1.7571564;-0.2064209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132641;-;-;9.100845;-1.8337708;-0.19923401;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132669;-;-;9.129578;-1.8960114;-0.27345276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132682;-;-;9.049377;-1.8792572;-0.2171936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132703;-;-;9.118805;-1.9690399;-0.0687561;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132723;-;-;9.163101;-1.9857941;-0.15135193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132744;-;-;9.148727;-1.9594574;-0.1381836;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132764;-;-;9.209793;-1.9055939;-0.22198486;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132786;-;-;9.224152;-1.8612976;-0.13578796;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132806;-;-;9.201401;-1.7056732;-0.03163147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132827;-;-;8.989517;-1.4447021;-0.01008606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132847;-;-;9.063736;-1.5321045;-0.50927734;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132868;-;-;9.206192;-1.6529999;0.4328308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132888;-;-;8.98114;-1.664978;-0.29141235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132909;-;-;9.049377;-1.5919495;-0.33570862;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132929;-;-;9.0793;-1.3908386;-0.21240234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132950;-;-;9.148727;-1.1585999;-0.15014648;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132970;-;-;9.170288;-1.3273926;-0.19923401;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465132990;-;-;9.352234;-1.6637726;-0.37400818;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133011;-;-;9.767639;-1.992981;-0.26268005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133031;-;-;9.23851;-1.9438934;-0.19683838;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133052;-;-;9.239716;-1.9558716;-0.5248413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133072;-;-;9.685028;-1.8852386;-0.012481689;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133093;-;-;10.0776825;-1.961853;-0.88157654;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133114;-;-;9.371399;-2.2132416;-0.79060364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133134;-;-;10.258453;-2.3353577;-0.5679474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133154;-;-;10.408081;-2.3521118;0.27243042;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133174;-;-;9.552155;-2.731598;0.923645;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133195;-;-;7.667923;-2.7423706;1.2564392;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133215;-;-;7.549408;-2.3281708;0.8254852;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133236;-;-;7.75531;-1.427948;0.9308319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133256;-;-;8.370621;-1.2040863;0.3095398;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133277;-;-;9.911285;-1.6817322;0.01864624;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133297;-;-;10.118393;-2.174942;-0.16331482;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133318;-;-;9.710175;-2.2922516;0.44480896;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133338;-;-;9.276825;-1.7116699;0.47473145;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133358;-;-;8.732147;-1.5847626;0.23532104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512465133379;-;-;7.463211;-1.5404816;0.04498291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
