TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1512469796457;-;-;8.957199;0.9016113;-1.3436584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796457;-;-;8.957199;0.9016113;-1.3436584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796472;-;-;8.769257;1.1949005;-1.4394226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796493;-;-;9.12001;1.2511597;-1.492096;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796513;-;-;9.245697;0.68014526;-0.9845276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796533;-;-;9.116409;1.1170807;-1.3352814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796554;-;-;8.953613;1.1625824;-1.2838135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796574;-;-;8.904526;1.2020874;-1.337677;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796595;-;-;9.027832;1.0584259;-0.91030884;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796615;-;-;9.306747;1.0979309;-1.148529;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796636;-;-;8.880585;1.2260284;-0.97854614;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796656;-;-;8.861435;0.7795105;-1.0755157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796677;-;-;8.5047;0.73521423;-0.59906006;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512469796709;-;-;8.617218;1.0656128;-0.70680237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
