TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514001447034;-;-;8.386185;-2.6178741;0.20059204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447063;-;-;8.944031;-2.4550629;0.41249084;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447074;-;-;9.31752;-2.7962341;0.75245667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447094;-;-;9.67067;-2.277893;0.38734436;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447115;-;-;9.183456;-2.6657562;-0.57032776;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447135;-;-;8.831497;-2.8082123;-0.14176941;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447155;-;-;9.267242;-2.514923;0.15989685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447175;-;-;9.451599;-2.3652802;0.31791687;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447195;-;-;9.133179;-2.2743073;0.22215271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447216;-;-;8.966782;-2.411972;0.40290833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447236;-;-;8.935654;-2.5065308;0.4005127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447257;-;-;8.926071;-2.4047852;0.2448883;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447277;-;-;8.948822;-2.3257751;-0.029251099;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447311;-;-;9.1918335;-2.348526;-0.012481689;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447318;-;-;9.167892;-2.4263306;0.055755615;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447338;-;-;9.141556;-2.4347076;0.31072998;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447359;-;-;9.00029;-2.289856;-0.0053100586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447379;-;-;8.728546;-2.3975983;0.072509766;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447399;-;-;9.858612;-1.9079895;-2.2798004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514001447420;-;-;8.386185;-2.5448456;-1.0719147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
